signal_time_utc,side,verdict,h1_close,h1_ema75,m15_close,m15_ema75
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
