ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx
2026-07-18T06:00:00+00:00,1784354400000,2554619423.3489,34644373.2161,1.62,17228668.8771,17415704.3389,3.80167412203e-05
2026-07-18T07:00:00+00:00,1784358000000,2554648290.9247,33286931.9927,1.62,16473201.9347,16813730.058,3.80167412203e-05
2026-07-18T08:00:00+00:00,1784361600000,2550871385.3082,52354867.6938,1.62,21261331.4626,31093536.2312,5.07952841494e-05
2026-07-18T09:00:00+00:00,1784365200000,2548626979.8891,51618159.8029,1.62,21646815.7182,29971344.0848,5.07952841494e-05
2026-07-18T10:00:00+00:00,1784368800000,2546374289.9791,38051294.1944,1.62,18197841.7901,19852160.5234,5.07952841494e-05
2026-07-18T11:00:00+00:00,1784372400000,2548893613.6014,25435263.0151,1.62,9947354.2808,15487908.7343,5.07952841494e-05
2026-07-18T12:00:00+00:00,1784376000000,2545384162.9541,50806755.3525,1.62,13131186.1776,37675569.1749,5.07952841494e-05
2026-07-18T13:00:00+00:00,1784379600000,2559152734.8233,208316448.6397,1.63,66706646.0949,141609802.5448,5.07952841494e-05
2026-07-18T14:00:00+00:00,1784383200000,2555643125.1382,146395741.4307,1.6,90893616.5508,55502124.8799,5.07952841494e-05
2026-07-18T15:00:00+00:00,1784386800000,2557080714.2326,61185193.2558,1.59,33829295.3025,27355897.9534,5.07952841494e-05
2026-07-18T16:00:00+00:00,1784390400000,2553640403.8175,48412348.5428,1.57,28106578.6093,20305769.9336,8.63693379528e-05
2026-07-18T17:00:00+00:00,1784394000000,2554018321.8645,111789756.9353,1.58,45036239.9325,66753517.0029,8.63693379528e-05
2026-07-18T18:00:00+00:00,1784397600000,2584319485.1747,210200533.3952,1.59,100014024.1869,110186509.2083,8.63693379528e-05
2026-07-18T19:00:00+00:00,1784401200000,2574813387.9669,192097181.4019,1.58,83760920.3936,108336261.0083,8.63693379528e-05
2026-07-18T20:00:00+00:00,1784404800000,2574873892.1056,63650518.4933,1.54,33923623.2383,29726895.255,8.63693379528e-05
2026-07-18T21:00:00+00:00,1784408400000,2598024873.7363,199774001.5278,1.53,78444470.7418,121329530.786,8.63693379528e-05
2026-07-18T22:00:00+00:00,1784412000000,2590973691.0466,170499822.985,1.51,73583774.8929,96916048.0921,8.63693379528e-05
2026-07-18T23:00:00+00:00,1784415600000,2599250959.3912,104904865.8537,1.49,46104286.648,58800579.2057,8.63693379528e-05
2026-07-19T00:00:00+00:00,1784419200000,2617021107.5268,89212156.1651,1.47,31408290.2932,57803865.872,1.66804274372e-05
2026-07-19T01:00:00+00:00,1784422800000,2615746554.8646,106261002.5429,1.46,52701530.5787,53559471.9642,1.66804274372e-05
2026-07-19T02:00:00+00:00,1784426400000,2611271817.8693,54699663.4846,1.43,33296618.3954,21403045.0892,1.66804274372e-05
2026-07-19T03:00:00+00:00,1784430000000,2608838708.1962,152195914.4498,1.43,69942060.1179,82253854.3319,1.66804274372e-05
2026-07-19T04:00:00+00:00,1784433600000,2607613201.3239,106798051.0016,1.4,50938084.823,55848091.8106,1.66804274372e-05
2026-07-19T05:00:00+00:00,1784437200000,2599929974.229,64285260.883,1.39,31831100.242,32454160.6411,1.66804274372e-05
2026-07-19T06:00:00+00:00,1784440800000,2604769709.4712,56597292.935,1.38,31517422.0974,25079870.8376,1.66804274372e-05
2026-07-19T07:00:00+00:00,1784444400000,2607624883.4918,64848073.7989,1.37,35391286.3514,29456787.4475,1.66804274372e-05
2026-07-19T08:00:00+00:00,1784448000000,2613944666.1762,83354551.3685,1.37,45439615.0145,37876830.3027,5.94778872743e-05
2026-07-19T09:00:00+00:00,1784451600000,2619332385.4927,102847464.1481,1.37,49820316.8878,53027121.4144,5.94778872743e-05
2026-07-19T10:00:00+00:00,1784455200000,2615105774.6959,139074479.1841,1.34,83779776.2703,55181672.614,5.94778872743e-05
2026-07-19T11:00:00+00:00,1784458800000,2610856475.0139,100418639.9279,1.35,49776876.336,50605652.8611,5.94778872743e-05
